iter	Passed	Remaining
0	1	835
1	3	825
2	4	752
3	5	659
4	6	658
5	8	673
6	9	669
7	10	670
8	12	662
9	13	667
10	15	692
11	16	689
12	18	710
13	20	701
14	21	680
15	22	679
16	23	677
17	25	675
18	26	671
19	28	673
20	28	659
21	29	648
22	31	646
23	32	650
24	34	652
25	35	643
26	36	639
27	37	635
28	38	626
29	39	619
30	40	615
31	42	615
32	43	608
33	43	598
34	44	592
35	45	588
36	46	580
37	47	572
38	47	565
39	48	556
40	49	550
41	49	543
42	50	536
43	51	534
44	52	530
45	53	528
46	54	526
47	55	524
48	56	519
49	57	514
50	57	509
51	58	504
52	59	498
53	59	493
54	60	488
55	60	483
56	61	478
57	62	474
58	62	469
59	63	465
60	64	465
61	65	463
62	66	460
63	67	456
64	67	453
65	68	451
66	69	448
67	70	446
68	71	445
69	72	443
70	72	440
71	73	437
72	74	435
73	75	433
74	76	433
75	77	431
76	78	431
77	79	430
78	80	428
79	81	427
80	82	425
81	83	425
82	84	423
83	85	421
84	85	419
85	86	417
86	87	415
87	88	413
88	89	411
89	90	410
90	90	408
91	91	406
92	92	405
93	93	403
94	94	402
95	96	404
96	97	403
97	97	401
98	99	401
99	99	399
100	100	397
101	101	396
102	102	394
103	103	392
104	103	390
105	104	388
106	105	386
107	106	384
108	107	384
109	107	382
110	108	381
111	109	380
112	110	379
113	111	379
114	112	377
115	114	377
116	115	376
117	115	375
118	117	374
119	117	373
120	118	372
121	119	370
122	120	369
123	121	368
124	122	367
125	123	366
126	124	364
127	124	362
128	125	361
129	126	361
130	128	360
131	129	360
132	130	359
133	131	358
134	131	356
135	132	355
136	133	354
137	134	353
138	135	351
139	136	350
140	137	349
141	138	348
142	138	346
143	139	344
144	140	344
145	141	344
146	142	342
147	143	341
148	144	340
149	145	339
150	146	338
151	147	337
152	148	336
153	149	335
154	150	334
155	151	333
156	152	332
157	152	331
158	153	330
159	154	329
160	156	330
161	158	330
162	159	329
163	160	328
164	160	326
165	161	325
166	162	324
167	163	322
168	164	321
169	165	320
170	166	319
171	167	318
172	168	317
173	168	316
174	169	315
175	170	314
176	171	313
177	173	313
178	174	313
179	175	311
180	176	310
181	177	309
182	178	308
183	178	306
184	179	306
185	180	304
186	181	304
187	182	303
188	183	302
189	184	300
190	185	300
191	186	299
192	187	298
193	188	297
194	189	296
195	190	295
196	191	294
197	192	293
198	193	292
199	194	291
200	194	289
201	196	289
202	197	288
203	198	287
204	199	286
205	200	285
206	201	285
207	202	284
208	203	283
209	204	282
210	205	281
211	206	280
212	207	280
213	208	278
214	209	277
215	210	276
216	211	275
217	211	274
218	212	273
219	213	272
220	214	270
221	215	269
222	216	269
223	217	268
224	218	266
225	219	265
226	219	264
227	220	263
228	221	262
229	222	261
230	223	259
231	223	258
232	224	257
233	225	256
234	226	254
235	226	253
236	227	252
237	228	251
238	228	250
239	229	248
240	230	247
241	231	246
242	232	245
243	233	244
244	234	243
245	234	242
246	235	241
247	236	240
248	237	239
249	238	238
250	239	237
251	240	236
252	240	235
253	241	233
254	242	232
255	242	231
256	243	230
257	243	228
258	244	227
259	245	226
260	245	225
261	246	224
262	248	224
263	249	223
264	250	222
265	251	221
266	253	220
267	254	220
268	255	219
269	256	218
270	257	217
271	258	216
272	258	215
273	259	213
274	259	212
275	260	211
276	261	210
277	261	209
278	262	207
279	263	206
280	264	206
281	265	205
282	266	204
283	267	203
284	268	202
285	269	201
286	270	200
287	270	199
288	271	198
289	272	197
290	272	196
291	273	195
292	275	194
293	276	193
294	278	193
295	279	192
296	280	191
297	281	190
298	281	189
299	282	188
300	283	187
301	284	186
302	285	185
303	285	184
304	286	183
305	287	182
306	288	181
307	288	180
308	289	179
309	290	177
310	290	176
311	291	175
312	292	174
313	293	173
314	294	173
315	295	172
316	296	171
317	297	170
318	297	169
319	298	167
320	299	166
321	299	165
322	300	164
323	301	164
324	302	163
325	303	161
326	304	160
327	304	159
328	305	158
329	306	157
330	306	156
331	307	155
332	308	154
333	309	153
334	310	152
335	310	151
336	311	150
337	312	149
338	313	148
339	313	147
340	314	146
341	315	145
342	316	144
343	316	143
344	317	142
345	318	141
346	318	140
347	319	139
348	320	138
349	321	137
350	323	137
351	324	136
352	325	135
353	325	134
354	326	133
355	327	132
356	328	131
357	329	130
358	330	129
359	331	128
360	331	127
361	332	126
362	333	125
363	334	124
364	334	123
365	335	122
366	336	121
367	337	120
368	338	120
369	339	119
370	339	118
371	340	117
372	341	116
373	342	115
374	343	114
375	344	113
376	345	112
377	345	111
378	346	110
379	347	109
380	348	108
381	349	108
382	350	107
383	351	106
384	352	105
385	353	104
386	354	103
387	354	102
388	355	101
389	357	100
390	358	99
391	359	99
392	360	98
393	361	97
394	361	96
395	363	95
396	364	94
397	364	93
398	365	92
399	366	91
400	367	90
401	369	89
402	369	89
403	370	88
404	371	87
405	372	86
406	373	85
407	374	84
408	375	83
409	376	82
410	377	81
411	377	80
412	378	79
413	379	78
414	380	78
415	381	77
416	382	76
417	383	75
418	384	74
419	385	73
420	386	72
421	387	71
422	388	70
423	389	69
424	390	68
425	391	67
426	391	67
427	392	66
428	393	65
429	394	64
430	395	63
431	396	62
432	396	61
433	397	60
434	398	59
435	398	58
436	399	57
437	400	56
438	401	55
439	402	54
440	403	53
441	404	53
442	405	52
443	406	51
444	407	50
445	408	49
446	409	48
447	410	47
448	411	46
449	412	45
450	413	44
451	414	43
452	415	43
453	416	42
454	417	41
455	418	40
456	419	39
457	420	38
458	421	37
459	423	36
460	424	35
461	424	34
462	425	34
463	426	33
464	426	32
465	427	31
466	428	30
467	428	29
468	429	28
469	430	27
470	431	26
471	432	25
472	432	24
473	433	23
474	434	22
475	434	21
476	435	21
477	436	20
478	438	19
479	438	18
480	439	17
481	440	16
482	441	15
483	441	14
484	442	13
485	443	12
486	444	11
487	445	10
488	446	10
489	447	9
490	448	8
491	449	7
492	451	6
493	452	5
494	453	4
495	454	3
496	455	2
497	456	1
498	457	0
499	458	0
